Article Name,Accessibility Score,Metadata Score,Search Engine Visibility Score,Sharability Score,Indexing Score,Overall Score,Website Link,Article Type,Source,Year,Keywords Used,,,,,,,,
"Comparison of indoor (refrigerated) versus outdoor winter storage of commercial honey bee, Apis mellifera (Hymenoptera: Apidae), colonies in the Western United States",1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toad109,Scientific article,Journal of Economic Entomology,2023,beekeeping,management,farming,,,,,,
Getting started with Beekeeping in Michigan,3,1,2,3,2,2.3,https://www.canr.msu.edu/news/getting-started-with-beekeeping-in-michigan,Educational Institution,Michigan State University Extension,2025,beekeeping,farming,bees,,,,,,
Go with the flow: a case study of migratory beekeeping and its associated costs ,3,2,2,3,3,2.6,https://doi.org/10.1093/jee/toaf119,Scientific article,Journal of Economic Entomology,2025,beekeeping,farming,management,,,,,,
Organic colony management practices are profitable for backyard beekeepers ,3,3,2,3,3,2.8, https://doi.org/10.1093/jee/toaf133,Scientific article,Journal of Economic Entomology,2023,beekeeping,organic,nature,,,,,,
Providing rigor in bee colony strength auditing methods,3,2,2,3,3,2.6,https://doi.org/10.1093/jee/toae032,Scientific article,Journal of Economic Entomology,2024,beekeeping,management,farming,,,,,,
Recycling honey bee drone brood for sustainable beekeeping,3,2,2,3,3,2.6,https://doi.org/10.1093/jee/toae303,Scientific article,Journal of Economic Entomology,2024,beekeeping,sustainability,farming,,,,,,
Selling MI Honey & Maple Syrup – Safely!,3,1,2,3,2,2.3,https://msu-prod.dotcmscloud.com/news/selling-honey-and-maple-syrup-safely,Educational Institution,Michigan State University Extension,2024,beekeeping,farming,products,,,,,,
Supporting Beekeepers & Protecting Pollinators,3,1,2,3,2,2.3,https://www.canr.msu.edu/events/overwinter-webinar-winter-maintenance-ecology-of-native-pollinator-plantings,Educational Institution,Michigan State University,2024,beekeeping,pollinators,farming,,,,,,
The 2024-2025 United States Beekeeping Survey is live!,3,1,2,3,2,2.3,https://www.canr.msu.edu/news/the-united-states-beekeeping-survey-is-live,Educational Institution,Michigan State University Extension,2025,beekeeping,farming,bees,,,,,,
"Winter mortality, diversification, and self-sufficiency affect honey bee (Hymenoptera: Apidae) colony profit in Canada: a model of commercial Alberta beekeepers",3,2,2,3,3,2.6,https://doi.org/10.1093/jee/toad056,Scientific article,Journal of Economic Entomology,2023,beekeeping,farming,economy,,,,,,
A colony health and economic comparison between mite resistant and commercial honey bees (Hymenoptera: Apidae),1,2,2,3,3,1.8,https://doi.org/10.1093/jee/toae094,Scientific article,Journal of Economic Entomology,2024,bees,health,farming,,,,,,
"Bees and thrips carry virus-positive pollen in peach orchards in South Carolina, United States",1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toad125,Scientific article,Journal of Economic Entomology,2023,bees,orchards,pest control,,,,,,
Chromosome-level genome of Osmia excavata (Hymenoptera: Megachilidae) provides insights into low-temperature tolerance of Osmia,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toae257,Scientific article,Journal of Economic Entomology,2024,bees,genetics,nature,,,,,,
Comparative analysis of 3 pollen sterilization methods for feeding bumble bees,1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toad036,Scientific article,Journal of Economic Entomology,2023,bees,nutrition,pollinators,,,,,,
Do diet and Fumagillin treatment impact Vairimorpha (Nosema) spp. (Microspora: Nosematidae) infections in honey bees (Hymenoptera: Apidae) and improve survival and growth of colonies overwintered in cold storage?,3,2,2,3,3,2.6,https://doi.org/10.1093/jee/toae187,Scientific article,Journal of Economic Entomology,2024,bees,health,farming,,,,,,
Do diet and Fumagillin treatment impact Vairimorpha (Nosema) spp. (Microspora: Nosematidae) infections in honey bees (Hymenoptera: Apidae) and improve survival and growth of colonies overwintered in cold storage? ,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toae187,Scientific article,Journal of Economic Entomology,2024,bees,health,farming,,,,,,
"Exploratory comparison of flower visiting behavior and pollination ability of mason bees, bumble bees, and honey bees",1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toad204,Scientific article,Journal of Economic Entomology,2023,bees,pollinators,farming,,,,,,
"Extreme heat affects blueberry pollen nutrition, bee health and plant reproduction, study finds",3,1,2,3,2,2.3,https://www.canr.msu.edu/news/extreme-heat-affects-blueberry-pollen-nutrition-bee-health-and-plant-reproduction-study-finds,Educational Institution,Michigan State University,2025,bees,climate,fruit,,,,,,
"Fungicide Exposure in Honey Bee Hives Varies By Time, Worker Role, and Proximity to Orchards in Spring ",1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toad008,Scientific article,Journal of Economic Entomology,2023,bees,health,pest control,,,,,,
Higher prevalence of sacbrood virus in Apis mellifera (Hymenoptera: Apidae) colonies after pollinating highbush blueberries ,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toae119,Scientific article,Journal of Economic Entomology,2024,bees,health,fruit,,,,,,
Honey Bee Health Coalition releases honey bee nutrition guide,3,1,2,3,2,2.3,https://www.canr.msu.edu/news/honey-bee-health-coalition-releases-honey-bee-nutrition-guide,Educational Institution,Michigan State University,2024,bees,health,nutrition,,,,,,
Honey Bee Health Coalition releases pollinator solar guide,3,1,2,3,2,2.3,https://www.canr.msu.edu/news/honey-bee-health-coalition-releases-pollinator-solar-guide,Educational Institution,Michigan State University Extension,2024,bees,pollinators,farming,,,,,,
Honeybees aren't as sweet as they may seem,3,2,2,3,2,2.5,https://extension.illinois.edu/blogs/garden-scoop/2025-04-18-honeybees-arent-sweet-they-may-seem,Educational Institution,Illinois Extension,2025,bees,farming,nature,,,,,,
How do I know if a pesticide is safe for bees? Five steps to protect bees from pesticides,3,1,2,3,2,2.3,https://www.canr.msu.edu/news/honey-bee-health-coalition-releases-honey-bee-nutrition-guide,Educational Institution,Michigan State University,2025,bees,pest control,farming,,,,,,
Identifying and modeling the impact of neonicotinoid exposure on honey bee colony profit,3,2,2,3,3,2.6,https://doi.org/10.1093/jee/toae227,Scientific article,Journal of Economic Entomology,2024,bees,pesticides,farming,,,,,,
Impacts of beekeeping on wild bee diversity and pollination networks in the Aegean Archipelago,3,3,2,3,3,2.8, https://doi.org/10.1111/ecog.05553,Scientific article,Wiley,2021,bees,biodiversity,farming,,,,,,
Insights into adult worker foraging dynamics within a Bombus terrestris (Hymenoptera: Apidae) colony,1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toae295,Scientific article,Journal of Economic Entomology,2024,bees,pollinators,nature,,,,,,
Managed honeybees and soil nitrogen availability interactively modulate sunflower production in intensive agricultural landscapes of China,1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toae280,Scientific article,Journal of Economic Entomology,2024,bees,crops,farming,,,,,,
Mating frequency estimation and its importance for colony abundance analyses in eusocial pollinators: a case study of Bombus impatiens (Hymenoptera: Apidae) ,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toae178,Scientific article,Journal of Economic Entomology,2024,bees,research,farming,,,,,,
Native bee habitat restoration: key ecological considerations from recent North American literature,3,3,2,3,3,2.8,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2024.1358621/full,Scientific article,Frontiers in Ecology and Evolution,2024,bees,conservation,nature,,,,,,
Native bee Pollination Ecosystem Services in Agricultural Wetlands and Riparian Protected Lands,3,3,2,2,3,2.7,https://link.springer.com/article/10.1007/s13157-024-01872-x,Scientific article,Springer,2024,bees,ecosystems,farming,,,,,,
Nesting cavity diameter has implications for management of the alfalfa leafcutting bee (Hymenoptera: Megachilidae),3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toad207,Scientific article,Journal of Economic Entomology,2023,bees,nesting,pollination,,,,,,
Nurse bees regulate the larval nutrition of developing workers (Apis mellifera) when feeding on various pollen types ,3,3,2,3,3,2.8,https://academic.oup.com/jee/article/117/3/683/7644456,Scientific article,Journal of Economic Entomology,2024,bees,nutrition,farming,,,,,,
Planting for honey bees,3,1,2,3,2,2.3,https://extension.umn.edu/natural-resources-news/woodlands-pollinators,Educational Institution,University of Minnesota Extension,2025,bees,gardening,farming,,,,,,
Pollination services provided by wild and managed bees to apple crops of the midwest,1,2,2,2,3,1.7,https://www.researchgate.net/publication/267524045_Pollination_services_provided_by_wild_and_managed_bees_to_apple_crops_of_the_midwest,Scientific article,ResearchGate,2013,bees,orchards,fruit,,,,,,
Preventative medicine? Examining prophylactic effects of a sunflower pollen diet in Bombus impatiens ([Hymenoptera]: [Apidae]),1,2,2,3,3,1.8,https://doi.org/10.1093/jee/toaf051,Scientific article,Journal of Economic Entomology,2025,bees,nutrition,health,,,,,,
Queen honey bee (Apis mellifera) survival and colony performance after overwintering mated queens indoors ,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toaf022,Scientific article,Journal of Economic Entomology,2025,bees,health,farming,,,,,,
Reports of high honey bee colony losses and how farmers and growers can support honey bees,3,1,2,3,2,2.3,https://www.canr.msu.edu/news/reports-of-high-honey-bee-colony-losses-and-how-farmers-and-growers-can-support-honey-bees,Educational Institution,Michigan State University Extension,2025,bees,farming,health,,,,,,
Seasonal patterns of beneficial phytochemical availability in honey and stored pollen from honey bee colonies in large apiaries,1,3,2,3,3,2.0,https://doi.org/10.1093/jee/toad096,Scientific article,Journal of Economic Entomology,2023,bees,nutrition,farming,,,,,,
Shrubs and Trees for Bees - Planting for Pollinators,3,1,2,3,2,2.3,https://www.extension.iastate.edu/linn/shrubs-and-trees-bees-planting-pollinators,Educational Institution,Iowa State,2024,bees,gardening,nature,,,,,,
Significance of honeybee pollination in increasing seed yield of Trifolium alexandrinum (Fabales: Fabaceae) and its impact on economic sustainability of smallholder farmers,3,3,2,3,3,2.8,https://doi.org/10.1093/jee/toae222,Scientific article,Journal of Economic Entomology,2024,bees,farming,sustainability,,,,,,
